k,First_CF,First_CF_err,First_D,First_D_err,Second_CF,Second_CF_err,Second_D,Second_D_err,Third_CF,Third_CF_err,Third_D,Third_D_err
0,-0.375022161824352,0.148711342757437,-0.161189416960746,0.145003626045738,-1.06349222792234,0.334801127266209,-0.636242168914435,0.334265450302091,-1.17704166329702,0.258122404416197,-0.394463409810634,0.251247331747187
1,0.485106382978723,0.516770383943198,1.61223404255319,0.460672564407023,-2.13194444444444,1.39042413533673,0.69212962962963,1.24273752983193,-2.65196078431373,1.11762126295617,4.54803921568627,0.994970930328383
2,0.371794871794872,0.408603855283304,1.72699849170437,0.376887244585264,-0.15719696969697,1.3374737067311,3.5,1.14817136290835,0.922848664688427,0.90544770726847,5.25890207715134,0.96185183401341
3,-0.079492317969272,0.397246717426694,1.62024048096192,0.358561260437789,-0.956666666666666,1.21352881653144,3.58333333333333,1.18361546406715,-0.175474254742548,0.907549222687574,5.22086720867209,0.99653409656716
4,-0.029639175257732,0.384199716550492,1.55057989690722,0.38794555864205,0.808441558441558,1.23453692831484,3.62824675324675,1.36967092818781,-0.474447513812155,0.871363308905389,5.53314917127072,1.00369064361066
5,0.447552447552448,0.425842216679466,2.04090909090909,0.41111073908904,-1.1,1.36502184190291,3.79661016949152,1.5113093361121,0.193430656934307,0.924555992434641,6.08321167883212,0.972564594597458
6,0.242256637168142,0.407566479144152,2.07005899705015,0.410287161224984,-1.49094202898551,1.68409811125773,2.61775362318841,1.64152652746095,-0.165922619047619,0.830478604210258,5.4546130952381,0.928523922670046
7,-0.096908939014202,0.440049986806784,1.98412698412698,0.443900736629148,-0.5,1.76532969876347,3.59398496240602,2.12601439036096,0.295068027210884,0.996476648443402,5.31547619047619,1.03501647379642
8,-0.309859154929577,0.440340267977382,1.99515845070423,0.435931532987286,-0.326086956521739,2.43488241343298,5.30978260869565,2.98528453630035,-0.398214285714286,1.0571194687833,4.12857142857143,1.01018756531167
9,0.30980980980981,0.437647978056467,2.24324324324324,0.435535571090615,0.625925925925926,2.69937756377733,6.93703703703704,3.6860553065981,-0.122004357298475,1.15792138786242,4.56753812636166,0.979321807392244
10,0.028571428571429,0.44338382954671,1.70989010989011,0.414351236709596,0.35,2.16436761653079,6.51538461538461,3.75594564817325,-0.579761904761905,1.27228230492517,4.48928571428572,1.00845372100886
11,-0.218708827404479,0.532360526852774,1.27602108036891,0.49105606928151,3.88068181818182,3.57809378418095,14.6477272727273,4.01759477039175,-0.176623376623377,1.39454874565297,4.07272727272727,0.922779298341032
12,-0.265398550724638,0.626133377484688,1.45380434782609,0.627527402217785,3.21428571428571,4.03207654328943,13.4285714285714,4.55409790503531,-1.75173611111111,1.8497859814382,3.50347222222222,1.34069599836461
13,-0.57051282051282,0.662826180887052,1.34401709401709,0.749093789650393,2.33516483516484,3.60832170253658,10.0604395604396,4.40189110868151,-2.93891402714932,2.06671452824486,2.65158371040724,1.362459706469
14,-0.35,0.841835034011888,2.11,0.839267780963421,3.67857142857143,3.39794730953371,9.31428571428571,3.66010273637453,-2.48076923076923,2.40982589581203,2.9478021978022,2.0074821426336
15,-0.795238095238095,1.01562732644073,2.32857142857143,1.12273825723339,6.30833333333333,4.02083405296482,11.9083333333333,3.34377185004976,-2.85128205128205,2.54283983121003,1.6974358974359,2.22322134015678
16,-1.02205882352941,1.10154054755544,2.61764705882353,1.20528516389849,2.53125,3.71182829220767,11.8125,4.13308078445526,-0.954861111111111,2.74375924957664,4.86111111111111,1.64374794629736
17,-0.835294117647059,1.17867021260992,1.58039215686275,1.28265379076563,1.72058823529412,5.66176470588235,7.47058823529412,6.82352941176471,-1.94444444444444,2.80205462169314,3.8921568627451,1.59606066618239
18,-1.44444444444444,1.3193648449024,0.780555555555556,1.54422377187154,7.66666666666667,0,9.75,0,-2.43402777777778,2.91023922131611,2.89583333333333,1.41708239698377
19,-0.175438596491228,1.94231999320052,1.99561403508772,2.20189854144707,7.26315789473684,0,8.18421052631579,0,-4.07894736842105,2.50923633467388,0.515037593984962,1.31006092760891
